,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
242,Juanmi,es ESP,"FW,DF",Getafe,32-241,1993,1.8,1,2,1,50.0,1.13,0.56,0.50,1.00,10.1,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
243,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,25-002,2001,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
244,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,25-188,2000,15.6,5,50,20,40.0,3.21,1.28,0.08,0.20,18.3,0,1,2,6.4,4.9,0.10,-1.4,-0.9,Matches
245,Ferran Jutglà,es ESP,"FW,MF",Celta Vigo,26-349,1999,8.1,2,20,11,55.0,2.48,1.36,0.10,0.18,18.3,0,0,0,2.3,2.3,0.11,-0.3,-0.3,Matches
246,Abu Kamara,eng ENG,"MF,FW",Getafe,22-179,2003,2.2,0,3,1,33.3,1.38,0.46,0.00,0.00,16.9,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
247,Jon Karrikaburu,es ESP,"FW,MF",Real Sociedad,23-119,2002,1.5,0,6,2,33.3,4.09,1.36,0.00,0.00,10.3,0,0,0,0.9,0.9,0.15,-0.9,-0.9,Matches
248,Kiké,es ESP,FW,Espanyol,36-052,1989,8.1,3,23,10,43.5,2.86,1.24,0.09,0.20,12.5,0,1,1,3.8,3.0,0.13,-0.8,-1.0,Matches
249,Koke,es ESP,MF,Atlético Madrid,34-008,1992,13.9,2,7,2,28.6,0.50,0.14,0.29,1.00,22.5,0,0,0,0.3,0.3,0.05,+1.7,+1.7,Matches
250,Luca Koleosho,it ITA,"MF,FW",Espanyol,21-123,2004,0.7,0,1,0,0.0,1.43,0.00,0.00,,27.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
251,Jules Koundé,fr FRA,DF,Barcelona,27-065,1998,14.8,1,6,3,50.0,0.41,0.20,0.17,0.33,8.8,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
252,Lancinet Kourouma,gn GUI,MF,Girona,21-292,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
253,Goduine Koyalipou,cf CTA,FW,Levante,25-335,2000,2.7,1,10,4,40.0,3.64,1.46,0.10,0.25,15.7,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches
254,Vladyslav Krapyvtsov,ua UKR,GK,Girona,20-205,2005,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
255,Ladislav Krejčí,cz CZE,DF,Girona,26-271,1999,2.0,0,1,0,0.0,0.50,0.00,0.00,,7.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
256,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,24-226,2001,12.3,2,25,11,44.0,2.03,0.89,0.08,0.18,17.2,1,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches
257,Marash Kumbulla,al ALB,DF,Mallorca,25-342,2000,3.7,0,2,0,0.0,0.55,0.00,0.00,,12.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
258,Adrián de la Fuente,es ESP,DF,Levante,26-324,1999,12.6,1,6,1,16.7,0.48,0.08,0.00,0.00,22.3,1,1,1,1.2,0.4,0.06,-0.2,-0.4,Matches
259,Yoel Lago,es ESP,DF,Celta Vigo,21-297,2004,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
260,Aymeric Laporte,es ESP,DF,Athletic Club,31-234,1994,9.5,0,5,1,20.0,0.52,0.10,0.00,0.00,14.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
261,Toni Lato,es ESP,"DF,MF",Mallorca,28-056,1997,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
262,Robin Le Normand,es ESP,DF,Atlético Madrid,29-066,1996,11.0,1,3,1,33.3,0.27,0.09,0.33,1.00,7.8,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches
263,Florian Lejeune,fr FRA,DF,Rayo Vallecano,34-241,1991,18.9,0,25,6,24.0,1.32,0.32,0.00,0.00,26.3,8,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
264,Youssef Lekhedim,es ESP,DF,Alavés,20-101,2005,8.8,0,7,1,14.3,0.80,0.11,0.00,0.00,18.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
265,Iñigo Lekue,es ESP,DF,Athletic Club,32-257,1993,3.9,0,3,1,33.3,0.76,0.25,0.00,0.00,17.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
266,Thomas Lemar,fr FRA,"MF,FW",Girona,30-065,1995,4.6,0,7,3,42.9,1.51,0.65,0.00,0.00,24.9,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
267,Clément Lenglet,fr FRA,DF,Atlético Madrid,30-213,1995,8.1,0,2,0,0.0,0.25,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
268,Robert Lewandowski,pl POL,FW,Barcelona,37-148,1988,7.8,9,30,15,50.0,3.87,1.93,0.27,0.53,13.7,0,1,3,7.8,5.5,0.19,+1.2,+2.5,Matches
269,Adrián Liso,es ESP,"FW,MF",Getafe,20-289,2005,13.7,3,19,7,36.8,1.39,0.51,0.16,0.43,18.9,0,0,0,1.4,1.4,0.07,+1.6,+1.6,Matches
270,Javier Llabrés,es ESP,"FW,MF",Mallorca,23-127,2002,1.5,0,2,0,0.0,1.30,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
271,Diego Llorente,es ESP,DF,Real Betis,32-153,1993,0.9,1,1,1,100.0,1.10,1.10,1.00,1.00,2.6,0,0,0,0.7,0.7,0.67,+0.3,+0.3,Matches
272,Marcos Llorente,es ESP,DF,Atlético Madrid,30-351,1995,14.0,0,9,4,44.4,0.64,0.29,0.00,0.00,17.6,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Matches
273,Giovani Lo Celso,ar ARG,MF,Real Betis,29-282,1996,11.3,2,25,10,40.0,2.21,0.89,0.08,0.20,19.8,3,0,0,2.4,2.4,0.09,-0.4,-0.4,Matches
274,David López,es ESP,DF,Mallorca,22-347,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
275,David López,es ESP,DF,Girona,36-099,1989,2.2,0,1,1,100.0,0.45,0.45,0.00,0.00,3.7,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches
276,Diego López,es ESP,"FW,MF",Valencia,23-248,2002,13.5,3,20,4,20.0,1.48,0.30,0.15,0.75,16.1,0,0,0,2.1,2.1,0.10,+0.9,+0.9,Matches
277,Fermin López,es ESP,"MF,FW",Barcelona,22-250,2003,7.7,4,28,12,42.9,3.63,1.56,0.14,0.33,18.5,0,0,0,2.4,2.4,0.09,+1.6,+1.6,Matches
278,Javi López,es ESP,DF,Oviedo,23-297,2002,4.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
279,Pau López,es ESP,GK,Real Betis,31-034,1994,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
280,Unai López,es ESP,MF,Rayo Vallecano,30-078,1995,11.4,0,14,3,21.4,1.23,0.26,0.00,0.00,25.9,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
281,Iker Losada,es ESP,"FW,MF",Levante,24-168,2001,2.4,2,6,2,33.3,2.55,0.85,0.33,1.00,11.6,0,0,0,1.4,1.4,0.23,+0.6,+0.6,Matches
282,Pol Lozano,es ESP,MF,Espanyol,26-102,1999,13.9,1,7,2,28.6,0.50,0.14,0.14,0.50,28.2,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
283,Sergio Lozano,es ESP,MF,Levante,26-298,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
284,Oier Luengo,es ESP,DF,Oviedo,28-066,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
285,José Luis Gayà,es ESP,DF,Valencia,30-236,1995,13.2,0,6,0,0.0,0.46,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
286,José Luis Morales,es ESP,"MF,FW",Levante,38-177,1987,3.3,1,7,3,42.9,2.11,0.90,0.00,0.00,16.2,0,1,1,1.7,1.0,0.15,-0.7,-1.0,Matches
287,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,28-114,1997,2.0,1,2,1,50.0,1.00,0.50,0.50,1.00,20.7,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
288,Carlos Macià,es ESP,MF,Villarreal,17-137,2008,0.8,0,1,0,0.0,1.27,0.00,0.00,,27.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
289,Pablo Maffeo,es ESP,DF,Mallorca,28-188,1997,14.2,1,2,1,50.0,0.14,0.07,0.50,1.00,22.5,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
290,Aitor Mañas,es ESP,FW,Alavés,23-011,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
291,Marcão,br BRA,DF,Sevilla,29-225,1996,10.4,0,10,1,10.0,0.96,0.10,0.00,0.00,10.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
292,José María Giménez,uy URU,DF,Atlético Madrid,30-361,1995,6.0,0,7,0,0.0,1.16,0.00,0.00,,9.2,0,0,0,1.1,1.1,0.15,-1.1,-1.1,Matches
