,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
327,Nahuel Molina,ar ARG,DF,Atlético Madrid,27-285,1998,6.0,0,2,0,0.0,0.33,0.00,0.00,,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
328,Jon Moncayola,es ESP,"MF,DF",Osasuna,27-248,1998,18.2,0,14,3,21.4,0.77,0.16,0.00,0.00,17.9,1,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
329,Jorge Montes,es ESP,MF,Getafe,21-316,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
330,Diego Morcillo,es ESP,"FW,MF",Alavés,22-212,2003,0.1,0,1,0,0.0,9.00,0.00,0.00,,5.6,0,0,0,0.4,0.4,0.45,-0.4,-0.4,Matches
331,Álex Moreno,es ESP,DF,Girona,32-222,1993,17.5,0,11,3,27.3,0.63,0.17,0.00,0.00,17.7,0,0,0,1.5,1.5,0.14,-1.5,-1.5,Matches
332,Gerard Moreno,es ESP,FW,Villarreal,33-284,1992,5.6,5,14,6,42.9,2.49,1.07,0.29,0.67,16.1,0,1,1,2.3,1.5,0.11,+2.7,+2.5,Matches
333,Matias Moreno,ar ARG,DF,Levante,22-114,2003,11.5,0,4,0,0.0,0.35,0.00,0.00,,16.1,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
334,Mateu Morey,es ESP,DF,Mallorca,25-320,2000,5.0,1,4,1,25.0,0.81,0.20,0.25,1.00,17.3,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
335,Ilaix Moriba,gn GUI,MF,Celta Vigo,22-362,2003,13.8,0,12,3,25.0,0.87,0.22,0.00,0.00,22.6,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
336,Manu Morlanes,es ESP,MF,Mallorca,27-004,1999,9.8,1,4,1,25.0,0.41,0.10,0.25,1.00,16.7,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
337,Santiago Mouriño,uy URU,DF,Villarreal,23-337,2002,11.7,0,6,0,0.0,0.51,0.00,0.00,,20.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
338,Aihen Muñoz,es ESP,DF,Real Sociedad,28-153,1997,5.3,0,3,0,0.0,0.56,0.00,0.00,,22.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
339,Iker Muñoz,es ESP,MF,Osasuna,23-072,2002,3.1,0,1,1,100.0,0.32,0.32,0.00,0.00,25.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
340,Javier Muñoz,es ESP,"MF,FW",Getafe,30-322,1995,4.1,0,9,4,44.4,2.19,0.97,0.00,0.00,26.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
341,Víctor Muñoz,es ESP,"FW,MF",Osasuna,22-187,2003,15.5,2,34,13,38.2,2.20,0.84,0.06,0.15,18.8,0,0,0,2.0,2.0,0.06,0.0,0.0,Matches
342,Vedat Muriqi,xk KVX,FW,Mallorca,31-267,1994,16.1,11,46,22,47.8,2.86,1.37,0.17,0.36,14.2,0,3,3,7.3,5.0,0.11,+3.7,+3.0,Matches
343,Juan Musso,ar ARG,GK,Atlético Madrid,31-255,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
344,Natan,br BRA,DF,Real Betis,24-344,2001,17.4,0,8,1,12.5,0.46,0.06,0.00,0.00,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
345,Pau Navarro,es ESP,DF,Villarreal,20-266,2005,6.6,0,1,1,100.0,0.15,0.15,0.00,0.00,25.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
346,Roberto Navarro,es ESP,"FW,MF",Athletic Club,23-279,2002,6.3,3,10,4,40.0,1.58,0.63,0.30,0.75,12.1,0,0,0,2.3,2.3,0.23,+0.7,+0.7,Matches
347,Martim Neto,pt POR,MF,Elche,23-002,2003,9.4,2,12,4,33.3,1.27,0.42,0.17,0.50,21.3,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
348,Yvan Neyou,cm CMR,MF,Getafe,29-013,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
349,Tanguy Nianzou,fr FRA,DF,Sevilla,23-223,2002,3.5,0,3,0,0.0,0.86,0.00,0.00,,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
350,Randy Nteka,ao ANG,FW,Rayo Vallecano,28-041,1997,0.6,0,2,0,0.0,3.53,0.00,0.00,,15.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
351,Álvaro Núñez,es ESP,DF,Elche,25-193,2000,18.3,0,4,0,0.0,0.22,0.00,0.00,,21.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
352,Ørjan Nyland,no NOR,GK,Sevilla,35-128,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
353,Allan Nyom,cm CMR,DF,Getafe,37-251,1988,3.0,0,3,1,33.3,0.99,0.33,0.00,0.00,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
354,Jan Oblak,si SVN,GK,Atlético Madrid,33-009,1993,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
355,Álvaro Odriozola,es ESP,DF,Real Sociedad,30-033,1995,0.6,1,1,1,100.0,1.61,1.61,1.00,1.00,8.0,0,0,0,0.6,0.6,0.57,+0.4,+0.4,Matches
356,Olasagasti,es ESP,MF,Levante,25-153,2000,5.3,0,6,0,0.0,1.14,0.00,0.00,,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
357,Dani Olmo,es ESP,MF,Barcelona,27-254,1998,9.6,5,34,11,32.4,3.55,1.15,0.15,0.45,20.3,4,0,0,3.4,3.4,0.10,+1.6,+1.6,Matches
358,Tani Oluwaseyi,ca CAN,FW,Villarreal,25-246,2000,5.5,2,13,6,46.2,2.38,1.10,0.15,0.33,14.4,0,0,0,3.2,3.2,0.25,-1.2,-1.2,Matches
359,Aimar Oroz,es ESP,"MF,FW",Osasuna,24-050,2001,10.5,0,14,2,14.3,1.33,0.19,0.00,0.00,20.3,2,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
360,Ángel Ortíz,es ESP,DF,Real Betis,21-175,2004,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
361,Asier Osambela,es ESP,"DF,MF",Osasuna,21-342,2004,2.4,0,1,0,0.0,0.42,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
362,Azzedine Ounahi,ma MAR,"MF,FW",Girona,25-272,2000,8.7,3,20,7,35.0,2.31,0.81,0.15,0.43,22.1,1,0,0,0.9,0.9,0.05,+2.1,+2.1,Matches
363,Mikel Oyarzabal,es ESP,FW,Real Sociedad,28-270,1997,15.6,5,47,17,36.2,3.01,1.09,0.04,0.12,16.6,2,3,3,7.2,4.8,0.10,-2.2,-2.8,Matches
364,Jon Pacheco,es ESP,DF,Alavés,25-008,2001,11.7,0,2,0,0.0,0.17,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
365,Isaac Palazón Camacho,es ESP,"MF,FW",Rayo Vallecano,31-020,1994,15.0,2,28,6,21.4,1.87,0.40,0.00,0.00,26.0,1,2,3,3.9,1.5,0.05,-1.9,-1.5,Matches
366,Diego Pampín,es ESP,DF,Levante,25-307,2000,3.1,0,1,0,0.0,0.32,0.00,0.00,,18.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
367,Victor Parada,es ESP,DF,Alavés,23-287,2002,10.4,0,5,1,20.0,0.48,0.10,0.00,0.00,15.6,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
368,Aitor Paredes,es ESP,DF,Athletic Club,25-262,2000,11.1,1,7,2,28.6,0.63,0.18,0.14,0.50,9.7,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches
369,Daniel Parejo,es ESP,MF,Villarreal,36-275,1989,7.2,0,2,0,0.0,0.28,0.00,0.00,,28.3,2,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
370,Thomas Partey,gh GHA,MF,Villarreal,32-217,1993,7.3,0,8,1,12.5,1.10,0.14,0.00,0.00,25.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
371,Alfonso Pedraza,es ESP,"DF,MF",Villarreal,29-282,1996,8.8,1,6,1,16.7,0.68,0.11,0.17,1.00,17.8,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
372,Pedri,es ESP,MF,Barcelona,23-052,2002,12.5,2,15,7,46.7,1.20,0.56,0.13,0.29,20.2,0,0,0,1.2,1.2,0.08,+0.8,+0.8,Matches
373,Adrià Pedrosa,es ESP,DF,Elche,27-248,1998,5.6,1,8,1,12.5,1.43,0.18,0.13,1.00,20.9,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
374,Adrià Pedrosa,es ESP,DF,Sevilla,27-248,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
375,Iñaki Peña,es ESP,GK,Elche,26-320,1999,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
376,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,30-232,1995,11.4,2,30,10,33.3,2.63,0.88,0.07,0.20,15.0,1,0,0,5.0,5.0,0.17,-3.0,-3.0,Matches
377,Peque,es ESP,"MF,FW",Sevilla,23-104,2002,7.0,1,11,4,36.4,1.57,0.57,0.09,0.25,17.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
378,Ayoze Pérez,es ESP,FW,Villarreal,32-171,1993,5.7,2,9,4,44.4,1.58,0.70,0.22,0.50,12.8,0,0,0,2.3,2.3,0.25,-0.3,-0.3,Matches
379,Francisco Perez,es ESP,"FW,MF",Rayo Vallecano,23-129,2002,7.7,1,8,3,37.5,1.04,0.39,0.13,0.33,12.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Matches
380,Joselu Pérez,es ESP,FW,Getafe,21-310,2004,0.2,0,1,0,0.0,4.09,0.00,0.00,,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
381,Léo Pétrot,fr FRA,DF,Elche,28-276,1997,6.4,0,3,0,0.0,0.47,0.00,0.00,,17.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
382,Charles Pickel,cd COD,MF,Espanyol,28-246,1997,4.0,0,6,1,16.7,1.49,0.25,0.00,0.00,23.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
383,Lander Pinillos,es ESP,MF,Alavés,22-102,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
384,Yeremi Pino,es ESP,"MF,FW",Villarreal,23-088,2002,1.8,0,2,1,50.0,1.13,0.57,0.00,0.00,15.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
385,Portu,es ESP,"FW,MF",Girona,33-240,1992,5.3,0,9,5,55.6,1.71,0.95,0.00,0.00,13.7,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Matches
386,Beñat Prados,es ESP,MF,Athletic Club,24-342,2001,0.9,0,1,0,0.0,1.06,0.00,0.00,,22.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
387,Abdón Prats,es ESP,"FW,MF",Mallorca,33-040,1992,0.9,0,3,1,33.3,3.18,1.06,0.00,0.00,5.9,0,0,0,0.8,0.8,0.25,-0.8,-0.8,Matches
388,Javi Puado,es ESP,"FW,MF",Espanyol,27-236,1998,7.5,2,13,6,46.2,1.74,0.80,0.08,0.17,17.7,0,1,2,3.5,1.9,0.15,-1.5,-0.9,Matches
389,Marc Pubill,es ESP,DF,Atlético Madrid,22-210,2003,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,14.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
390,Dani Raba,es ESP,"FW,MF",Valencia,30-079,1995,2.8,0,8,1,12.5,2.86,0.36,0.00,0.00,22.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
391,Ionuț Radu,ro ROU,GK,Celta Vigo,28-233,1997,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
392,Antonio Raillo,es ESP,DF,Mallorca,34-100,1991,18.0,0,9,1,11.1,0.50,0.06,0.00,0.00,12.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
393,Largie Ramazani,be BEL,"FW,MF",Valencia,24-323,2001,2.1,0,9,3,33.3,4.31,1.44,0.00,0.00,19.9,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
394,Raphinha,br BRA,"FW,MF",Barcelona,29-033,1996,8.5,7,35,8,22.9,4.13,0.94,0.17,0.75,20.3,2,1,1,5.5,4.7,0.14,+1.5,+1.3,Matches
395,Marcus Rashford,eng ENG,FW,Barcelona,28-077,1997,12.3,2,51,17,33.3,4.14,1.38,0.04,0.12,19.0,6,0,0,4.0,4.0,0.08,-2.0,-2.0,Matches
396,Giacomo Raspadori,it ITA,"FW,MF",Atlético Madrid,25-332,2000,2.6,0,7,3,42.9,2.67,1.14,0.00,0.00,14.2,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
397,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,27-210,1998,17.4,0,18,6,33.3,1.03,0.34,0.00,0.00,21.9,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
398,Raúl,es ESP,FW,Osasuna,25-074,2000,6.9,3,19,10,52.6,2.75,1.45,0.16,0.30,12.6,1,0,0,3.0,3.0,0.16,0.0,0.0,Matches
399,Abde Rebbach,dz ALG,MF,Alavés,27-158,1998,8.5,0,23,8,34.8,2.71,0.94,0.00,0.00,21.1,1,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
400,Federico Redondo,ar ARG,MF,Elche,22-363,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
401,Alejandro Rego,es ESP,MF,Athletic Club,22-219,2003,4.8,1,6,2,33.3,1.24,0.41,0.17,0.50,24.4,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
402,Alberto Reina,es ESP,MF,Oviedo,28-129,1997,10.5,1,10,4,40.0,0.95,0.38,0.10,0.25,17.0,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches
403,Vitor Reis,br BRA,DF,Girona,20-004,2006,16.9,0,5,0,0.0,0.30,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
404,Álex Remiro,es ESP,GK,Real Sociedad,30-298,1995,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
405,Oriol Rey,es ESP,MF,Levante,27-325,1998,8.3,0,4,1,25.0,0.48,0.12,0.00,0.00,26.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
406,Diego Rico,es ESP,DF,Getafe,32-327,1993,16.0,0,8,1,12.5,0.50,0.06,0.00,0.00,28.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
407,Clemens Riedel,de GER,DF,Espanyol,22-181,2003,5.8,0,3,1,33.3,0.52,0.17,0.00,0.00,21.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
408,Hugo Rincón,es ESP,DF,Girona,22-354,2003,9.4,0,3,0,0.0,0.32,0.00,0.00,,7.8,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches
409,Luis Rioja,es ESP,"MF,FW",Valencia,32-092,1993,13.4,1,25,3,12.0,1.87,0.22,0.04,0.33,20.6,2,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
410,Rodrigo Riquelme,es ESP,"FW,MF",Real Betis,25-289,2000,6.4,0,15,3,20.0,2.35,0.47,0.00,0.00,18.5,0,0,0,1.5,1.5,0.10,-1.5,-1.5,Matches
411,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,30-077,1995,2.8,0,1,0,0.0,0.36,0.00,0.00,,33.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
412,Joel Roca,es ESP,"FW,MF",Girona,20-223,2005,8.7,1,20,7,35.0,2.31,0.81,0.05,0.14,19.1,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
413,Marc Roca,es ESP,MF,Real Betis,29-051,1996,10.1,0,5,2,40.0,0.50,0.20,0.00,0.00,9.7,0,0,0,0.8,0.8,0.15,-0.8,-0.8,Matches
414,Álvaro Rodríguez,uy URU,FW,Elche,21-186,2004,10.4,3,34,11,32.4,3.28,1.06,0.09,0.27,11.5,0,0,0,3.4,3.4,0.10,-0.4,-0.4,Matches
415,Damián Rodríguez,es ESP,MF,Celta Vigo,22-305,2003,1.7,0,3,0,0.0,1.80,0.00,0.00,,29.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
416,Dani Rodríguez,es ESP,MF,Mallorca,37-224,1988,0.8,0,1,0,0.0,1.32,0.00,0.00,,27.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
417,Javi Rodríguez,es ESP,DF,Celta Vigo,22-204,2003,12.8,0,5,2,40.0,0.39,0.16,0.00,0.00,15.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
418,Ricardo Rodríguez,ch SUI,DF,Real Betis,33-144,1992,8.6,0,2,0,0.0,0.23,0.00,0.00,,17.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
419,Rodrygo,br BRA,"FW,MF",Real Madrid,25-007,2001,7.0,1,23,9,39.1,3.26,1.28,0.04,0.11,16.9,2,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
420,Leo Román,es ESP,GK,Mallorca,25-194,2000,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
421,Miguel Román,es ESP,MF,Celta Vigo,23-021,2002,8.1,1,7,1,14.3,0.86,0.12,0.14,1.00,17.0,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
422,Carlos Romero,es ESP,DF,Espanyol,24-079,2001,17.6,4,18,6,33.3,1.02,0.34,0.22,0.67,19.2,0,0,0,1.8,1.8,0.10,+2.2,+2.2,Matches
423,Isaac Romero,es ESP,FW,Sevilla,25-243,2000,9.0,3,22,8,36.4,2.45,0.89,0.14,0.38,15.1,0,0,1,4.1,3.2,0.15,-1.1,-0.2,Matches
424,Iván Romero,es ESP,FW,Levante,24-281,2001,12.6,4,28,8,28.6,2.21,0.63,0.14,0.50,14.4,0,0,0,4.5,4.5,0.16,-0.5,-0.5,Matches
425,Salomón Rondón,ve VEN,FW,Oviedo,36-122,1989,11.5,2,23,4,17.4,2.01,0.35,0.09,0.50,15.9,0,0,1,3.0,2.2,0.10,-1.0,-0.2,Matches
426,Valentin Rosier,fr FRA,"DF,MF",Osasuna,29-150,1996,9.7,0,3,0,0.0,0.31,0.00,0.00,,25.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
427,Rubén,es ESP,"DF,MF",Espanyol,24-346,2001,3.6,0,1,0,0.0,0.27,0.00,0.00,,39.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
428,Antonio Rüdiger,de GER,DF,Real Madrid,32-319,1993,6.7,0,3,0,0.0,0.45,0.00,0.00,,21.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
429,Javier Rueda Garcia,es ESP,"MF,DF",Celta Vigo,23-253,2002,7.8,1,6,2,33.3,0.77,0.26,0.17,0.50,19.4,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
430,Matteo Ruggeri,it ITA,DF,Atlético Madrid,23-189,2002,8.6,0,3,2,66.7,0.35,0.23,0.00,0.00,14.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
431,Aitor Ruibal,es ESP,"FW,DF",Real Betis,29-300,1996,9.5,3,17,8,47.1,1.79,0.84,0.18,0.38,17.9,0,0,0,2.4,2.4,0.14,+0.6,+0.6,Matches
432,Abel Ruiz,es ESP,"FW,MF",Girona,25-353,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
433,Mathew Ryan,au AUS,GK,Levante,33-283,1992,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
434,Umar Sadiq,ng NGA,FW,Valencia,28-348,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
435,Umar Sadiq,ng NGA,FW,Real Sociedad,28-348,1997,1.7,0,4,0,0.0,2.35,0.00,0.00,,11.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
436,Jan Salas,es ESP,MF,Mallorca,20-159,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
437,Kike Salas,es ESP,DF,Sevilla,23-268,2002,6.5,0,3,1,33.3,0.46,0.15,0.00,0.00,10.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
438,José Salinas,es ESP,"DF,FW",Espanyol,25-108,2000,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
439,Oihan Sancet,es ESP,MF,Athletic Club,25-266,2000,10.5,1,23,5,21.7,2.19,0.48,0.00,0.00,15.5,0,1,1,3.0,2.2,0.10,-2.0,-2.2,Matches
440,Alexis Sánchez,cl CHI,"FW,MF",Sevilla,37-028,1988,8.2,2,12,4,33.3,1.47,0.49,0.08,0.25,16.6,1,1,1,1.6,0.8,0.07,+0.4,+0.2,Matches
441,Antonio Sánchez,es ESP,"MF,FW",Mallorca,29-015,1997,6.9,0,3,1,33.3,0.43,0.14,0.00,0.00,19.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
442,Juanlu Sánchez,es ESP,"DF,FW",Sevilla,22-154,2003,11.9,0,8,1,12.5,0.67,0.08,0.00,0.00,16.0,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
443,Borja Sánchez Laborde,es ESP,MF,Oviedo,29-324,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
444,Manu Sánchez,es ESP,DF,Levante,25-145,2000,14.5,1,7,2,28.6,0.48,0.14,0.14,0.50,16.4,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
445,Selton Sánchez,es ESP,MF,Athletic Club,18-330,2007,1.5,0,4,1,25.0,2.75,0.69,0.00,0.00,17.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
446,Álex Sancris,es ESP,"MF,FW",Getafe,28-363,1997,7.0,0,11,4,36.4,1.57,0.57,0.00,0.00,28.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
447,Maroan Sannadi,ma MAR,FW,Athletic Club,24-349,2001,2.9,1,7,4,57.1,2.43,1.39,0.14,0.25,18.2,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches
448,Baptiste Santamaria,fr FRA,MF,Valencia,30-313,1995,7.4,1,6,2,33.3,0.81,0.27,0.17,0.50,23.4,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
449,Yago Santiago,es ESP,"MF,DF",Elche,22-276,2003,1.9,0,2,0,0.0,1.03,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
450,Nicolás Serrano,es ESP,FW,Athletic Club,22-317,2003,1.8,0,6,0,0.0,3.27,0.00,0.00,,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
451,Kwasi Sibo,gh GHA,MF,Oviedo,27-206,1998,6.2,0,6,2,33.3,0.96,0.32,0.00,0.00,23.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
452,André Silva,pt POR,FW,Elche,30-071,1995,8.6,4,22,8,36.4,2.57,0.94,0.18,0.50,13.8,1,0,0,4.1,4.1,0.19,-0.1,-0.1,Matches
453,Giuliano Simeone,ar ARG,"MF,FW",Atlético Madrid,23-029,2002,15.1,2,23,7,30.4,1.52,0.46,0.09,0.29,13.5,0,0,0,3.2,3.2,0.14,-1.2,-1.2,Matches
454,Unai Simón,es ESP,GK,Athletic Club,28-219,1997,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
455,Antonio Sivera,es ESP,GK,Alavés,29-158,1996,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
456,Alex Sola,es ESP,FW,Getafe,26-221,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
457,Carlos Soler,es ESP,MF,Real Sociedad,29-014,1997,10.5,2,19,11,57.9,1.82,1.05,0.11,0.18,19.4,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
458,Jhon Solis,co COL,MF,Girona,21-105,2004,4.2,0,3,2,66.7,0.71,0.47,0.00,0.00,12.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
459,Manor Solomon,il ISR,MF,Villarreal,26-176,1999,1.7,1,2,1,50.0,1.20,0.60,0.50,1.00,14.7,0,0,0,0.4,0.4,0.21,+0.6,+0.6,Matches
460,Hugo Solozabal,es ESP,MF,Getafe,22-343,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
461,David Soria,es ESP,GK,Getafe,32-287,1993,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
462,Hugo Sotelo,es ESP,MF,Celta Vigo,22-028,2003,8.6,0,2,1,50.0,0.23,0.12,0.00,0.00,28.5,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
463,Djibril Sow,ch SUI,MF,Sevilla,28-344,1997,12.2,2,10,3,30.0,0.82,0.25,0.20,0.67,17.4,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
464,Carl Starfelt,se SWE,DF,Celta Vigo,30-229,1995,9.7,0,3,1,33.3,0.31,0.10,0.00,0.00,7.7,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
465,Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,21-140,2004,1.3,1,3,2,66.7,2.33,1.55,0.33,0.50,11.6,0,0,0,0.5,0.5,0.16,+0.5,+0.5,Matches
466,Cristhian Stuani,uy URU,FW,Girona,39-096,1986,2.3,3,2,1,50.0,0.87,0.44,0.00,0.00,31.2,0,3,3,2.7,0.5,0.23,+0.3,-0.5,Matches
467,Denis Suárez,es ESP,MF,Alavés,32-010,1994,9.6,1,4,2,50.0,0.42,0.21,0.25,0.50,18.2,0,0,0,0.7,0.7,0.18,+0.3,+0.3,Matches
468,Gabriel Suazo,cl CHI,"DF,MF",Sevilla,28-160,1997,11.0,0,2,1,50.0,0.18,0.09,0.00,0.00,14.3,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
469,Luka Sučić,hr CRO,"MF,FW",Real Sociedad,23-130,2002,2.6,0,5,2,40.0,1.91,0.77,0.00,0.00,17.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
470,Williot Swedberg,se SWE,"MF,FW",Celta Vigo,21-349,2004,5.6,3,10,6,60.0,1.79,1.07,0.30,0.50,12.1,0,0,0,2.4,2.4,0.24,+0.6,+0.6,Matches
471,Wojciech Szczęsny,pl POL,GK,Barcelona,35-273,1990,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
